stock_number,upc,catalog_number,display_name,website_name,source_categories,size,finish,price,price_label,availability,is_discontinued,url,image,secondary_image,features,safe_working_load_range,collection,web_type,self_closing,keyed,pin_type,technical_documents
N101-394,038613101395,V23A,Adjust-O-Matic® Heavy-Duty Gate Latch,"23A Adjust-O-Matic Heavy-Duty Gate Latches, Black, 8""",Gate Latches & Locks,"8""",Black,46.77,National Hardware list price,Active,False,https://www.national-hardware.com/p/23a-adjust-o-matic-heavy-duty-gate-latches?model=N101-394,https://images.national-hardware.com/is/image/nh/nh_101394_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v23a_n101-394.pdf
N101-410,038613101395,V23A,Adjust-O-Matic® Heavy-Duty Gate Latch,"23A Adjust-O-Matic Heavy-Duty Gate Latches, Zinc Plated, 8""",Gate Latches & Locks,"8""",Zinc Plated,40.99,National Hardware list price,Active,False,https://www.national-hardware.com/p/23a-adjust-o-matic-heavy-duty-gate-latches?model=N101-410,https://images.national-hardware.com/is/image/nh/nh_101410_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v23a_n101-394.pdf
N101-220,038613101227,V21A,Adjust-O-Matic® Latch,"21 Adjust-O-Matic Latch, Black, 4""",Gate Latches & Locks,"4""",Black,16.53,National Hardware list price,Active,False,https://www.national-hardware.com/p/21-adjust-o-matic-latch?model=N101-220,https://images.national-hardware.com/is/image/nh/nh_101220_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v21a_n101-220.pdf
N344-655,038613101227,DPB21A,Adjust-O-Matic® Latch,"21 Adjust-O-Matic Latch, Zinc Plated, 4""",Gate Latches & Locks,"4""",Zinc Plated,9.95,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/21-adjust-o-matic-latch?model=N344-655,https://images.national-hardware.com/is/image/nh/nh_344655_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v21a_n101-220.pdf
N109-060,886780023718,V874,Anti-Sag Gate Kit,"874 Anti-Sag Gate Kit, Black",Gate Kits,,Black,99.59,National Hardware list price,Active,False,https://www.national-hardware.com/p/874-anti-sag-gate-kit?model=N109-060,https://images.national-hardware.com/is/image/nh/snh_109060_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_109060_v1?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,
N166-004,886780029437,852,Anti-Sag Gate Kit,"852 Anti Sag Kit, Black",Gate Kits,,Black,27.21,National Hardware list price,Active,False,https://www.national-hardware.com/p/852-anti-sag-gate-kits?model=N166-004,https://images.national-hardware.com/is/image/nh/nh_166004_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166004_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/sn12062.pdf
N192-211,886780029437,V852,Anti-Sag Gate Kit,"852 Anti-Sag Gate Kits, Zinc Plated",Gate Kits,,Zinc Plated,30.88,National Hardware list price,Active,False,https://www.national-hardware.com/p/852-anti-sag-gate-kits?model=N192-211,https://images.national-hardware.com/is/image/nh/snh_192211_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_192211_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/sn12062.pdf
N100-055,886780017434,,Arched Gate Pull,"12 Arched Gate Pull, Black, 8-1/2""",Gate Parts & Accessories,"8-1/2""",Black,22.46,National Hardware list price,Active,False,https://www.national-hardware.com/p/12-arched-gate-pull?model=N100-055,https://images.national-hardware.com/is/image/nh/snh_100055_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_100055_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_12_n100-055.pdf
N101-337,038613101333,V22,Automatic Gate Latch,"22 Automatic Gate Latches, Black",Gate Latches & Locks,,Black,14.22,National Hardware list price,Active,False,https://www.national-hardware.com/p/22-automatic-gate-latches?model=N101-337,https://images.national-hardware.com/is/image/nh/nh_101337_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v22_n101-337.pdf
N101-352,038613101333,V22,Automatic Gate Latch,"22 Automatic Gate Latches, Zinc Plated",Gate Latches & Locks,,Zinc Plated,11.81,National Hardware list price,Active,False,https://www.national-hardware.com/p/22-automatic-gate-latches?model=N101-352,https://images.national-hardware.com/is/image/nh/nh_101352_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_101352_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v22_n101-337.pdf
